,strategy,ticker,time window,commission,market,yearly avg performance strategy (%),yearly avg performance buy & hold (%)
161,MovingAverageCrossOver,DD,2010-01-01/2023-01-01,0.3,XLB,6.110833333333335,6.144166666666666
162,MovingAverageCrossOver,DXC,2010-01-01/2023-01-01,0.3,S&P 500,12.974166666666667,10.21333333333333
163,MovingAverageCrossOver,EMN,2010-01-01/2023-01-01,0.3,XLB,7.161666666666668,11.558333333333332
164,MovingAverageCrossOver,ETN,2010-01-01/2023-01-01,0.3,XLI,8.321666666666667,13.150833333333333
165,MovingAverageCrossOver,EBAY,2010-01-01/2023-01-01,0.3,XLY,7.382499999999999,15.348333333333334
166,MovingAverageCrossOver,ECL,2010-01-01/2023-01-01,0.3,XLB,7.108333333333333,12.119166666666667
167,MovingAverageCrossOver,EIX,2010-01-01/2023-01-01,0.3,XLU,-2.040000000000001,5.928333333333335
168,MovingAverageCrossOver,EW,2010-01-01/2023-01-01,0.3,S&P 500,18.090833333333332,23.185
169,MovingAverageCrossOver,EA,2010-01-01/2023-01-01,0.3,XLC,17.462500000000002,22.717499999999998
170,MovingAverageCrossOver,ELV,2010-01-01/2023-01-01,0.3,S&P 500,13.342500000000001,20.910833333333333
171,MovingAverageCrossOver,LLY,2010-01-01/2023-01-01,0.3,XLV,12.8175,20.596666666666668
172,MovingAverageCrossOver,EMR,2010-01-01/2023-01-01,0.3,XLI,-0.5191666666666668,6.009999999999999
173,MovingAverageCrossOver,ENPH,2010-01-01/2023-01-01,0.3,S&P 500,93.228,94.60900000000001
174,MovingAverageCrossOver,ETR,2010-01-01/2023-01-01,0.3,XLU,-2.618333333333333,3.6558333333333333
175,MovingAverageCrossOver,EOG,2010-01-01/2023-01-01,0.3,XLE,8.0775,11.804166666666667
176,MovingAverageCrossOver,EPAM,2010-01-01/2023-01-01,0.3,S&P 500,31.142000000000003,39.712
177,MovingAverageCrossOver,EQT,2010-01-01/2023-01-01,0.3,XLE,11.351666666666665,10.65833333333333
